"JHN.BRAIN.STRYKEER.BRAIN_STRYKER.t1_AX","COORD"
382,8519690
366,8585226
357,8650762
305,8716298
316,8781834
326,8847370
273,8912906
289,8978442
256,9043978
248,9109514
259,9175050
237,9240586
213,9306122
181,9371658
213,9437194
207,9502730
204,9568266
225,9633802
183,9699338
205,9764874
378,8126474
382,8192010
384,8257546
333,8323082
331,8388618
318,8454154
265,8454155
300,8519690
271,8519691
255,8585226
251,8585227
239,8650762
253,8650763
320,8716297
245,8716298
309,8716299
375,8781833
267,8781834
251,8781835
482,8847369
306,8847370
232,8847371
569,8912905
276,8912906
244,8912907
666,8978441
275,8978442
265,8978443
460,9043977
272,9043978
338,9043979
354,9109513
256,9109514
343,9109515
370,9175049
281,9175050
307,9175051
383,9240585
261,9240586
299,9240587
367,9306121
229,9306122
333,9306123
354,9371657
210,9371658
317,9371659
370,9437193
250,9437194
319,9437195
374,9502729
298,9502730
313,9502731
405,9568265
290,9568266
295,9568267
442,9633801
346,9633802
326,9633803
441,9699337
331,9699338
351,9699339
418,9764873
311,9764874
353,9764875
284,9830410
296,9895946
274,9961482
184,10027018
150,10092554
322,7929866
391,7995402
378,8060937
420,8060938
366,8126473
372,8126474
354,8192009
365,8192010
385,8192011
395,8257545
345,8257546
343,8257547
376,8323081
354,8323082
245,8323083
360,8388617
361,8388618
204,8388619
392,8454153
342,8454154
182,8454155
407,8519689
337,8519690
179,8519691
388,8585225
307,8585226
196,8585227
424,8650761
312,8650762
224,8650763
414,8716297
366,8716298
261,8716299
466,8781833
392,8781834
260,8781835
584,8847369
384,8847370
169,8847371
740,8912905
342,8912906
239,8912907
884,8978441
353,8978442
335,8978443
719,9043977
385,9043978
272,9043979
512,9109513
404,9109514
284,9109515
496,9175049
421,9175050
292,9175051
530,9240585
414,9240586
286,9240587
506,9306121
427,9306122
287,9306123
488,9371657
409,9371658
254,9371659
494,9437193
388,9437194
279,9437195
518,9502729
404,9502730
270,9502731
474,9568265
400,9568266
269,9568267
479,9633801
452,9633802
286,9633803
483,9699337
465,9699338
229,9699339
483,9764873
422,9764874
218,9764875
485,9830409
378,9830410
242,9830411
460,9895945
440,9895946
217,9895947
434,9961481
461,9961482
287,9961483
411,10027017
397,10027018
332,10027019
423,10092553
335,10092554
320,10092555
379,10158089
274,10158090
398,10158091
330,10223625
247,10223626
137,10289162
90,10354698
280,7667721
396,7667722
360,7733257
441,7733258
354,7798793
467,7798794
354,7864329
427,7864330
407,7929865
425,7929866
400,7995401
471,7995402
341,7995403
408,8060937
459,8060938
363,8060939
426,8126473
430,8126474
286,8126475
448,8192009
440,8192010
273,8192011
422,8257545
450,8257546
276,8257547
413,8323081
484,8323082
260,8323083
421,8388617
464,8388618
281,8388619
449,8454153
456,8454154
311,8454155
460,8519689
464,8519690
320,8519691
427,8585225
458,8585226
354,8585227
450,8650761
446,8650762
376,8650763
311,8650764
430,8716297
442,8716298
377,8716299
271,8716300
462,8781833
446,8781834
421,8781835
255,8781836
511,8847369
375,8847370
386,8847371
243,8847372
565,8912905
322,8912906
462,8912907
245,8912908
658,8978441
361,8978442
565,8978443
216,8978444
594,9043977
376,9043978
421,9043979
169,9043980
464,9109513
377,9109514
403,9109515
176,9109516
467,9175049
383,9175050
470,9175051
228,9175052
497,9240585
392,9240586
463,9240587
258,9240588
507,9306121
410,9306122
463,9306123
275,9306124
507,9371657
433,9371658
437,9371659
288,9371660
513,9437193
438,9437194
441,9437195
265,9437196
529,9502729
402,9502730
429,9502731
215,9502732
493,9568265
446,9568266
468,9568267
158,9568268
476,9633801
492,9633802
500,9633803
118,9633804
476,9699337
457,9699338
427,9699339
85,9699340
467,9764873
447,9764874
364,9764875
102,9764876
472,9830409
422,9830410
355,9830411
132,9830412
499,9895945
386,9895946
343,9895947
119,9895948
493,9961481
385,9961482
286,9961483
484,10027017
390,10027018
297,10027019
499,10092553
378,10092554
304,10092555
502,10158089
378,10158090
297,10158091
461,10223625
378,10223626
314,10223627
414,10289161
313,10289162
288,10289163
395,10354697
229,10354698
209,10354699
140,10420234
289,10420235
118,10485770
156,10551306
214,7405577
309,7471113
429,7471114
332,7536649
352,7536650
315,7602185
344,7602186
367,7667721
363,7667722
383,7733257
435,7733258
386,7798793
460,7798794
381,7864329
477,7864330
306,7864331
430,7929865
500,7929866
288,7929867
433,7995401
510,7995402
291,7995403
436,8060937
496,8060938
314,8060939
483,8126473
470,8126474
317,8126475
459,8192009
479,8192010
359,8192011
426,8257545
500,8257546
398,8257547
439,8323081
507,8323082
423,8323083
215,8323084
441,8388617
478,8388618
466,8388619
197,8388620
459,8454153
498,8454154
466,8454155
174,8454156
466,8519689
501,8519690
459,8519691
189,8519692
453,8585225
492,8585226
460,8585227
254,8585228
467,8650761
509,8650762
449,8650763
278,8650764
467,8716297
497,8716298
449,8716299
244,8716300
493,8781833
489,8781834
470,8781835
281,8781836
493,8847369
451,8847370
509,8847371
332,8847372
471,8912905
432,8912906
537,8912907
345,8912908
499,8978441
461,8978442
549,8978443
318,8978444
472,9043977
443,9043978
502,9043979
296,9043980
430,9109513
429,9109514
462,9109515
306,9109516
466,9175049
403,9175050
497,9175051
306,9175052
474,9240585
392,9240586
523,9240587
338,9240588
461,9306121
409,9306122
514,9306123
277,9306124
475,9371657
405,9371658
513,9371659
253,9371660
455,9437193
461,9437194
525,9437195
282,9437196
450,9502729
480,9502730
532,9502731
286,9502732
443,9568265
498,9568266
566,9568267
326,9568268
447,9633801
516,9633802
597,9633803
305,9633804
461,9699337
419,9699338
594,9699339
300,9699340
449,9764873
427,9764874
542,9764875
334,9764876
465,9830409
451,9830410
401,9830411
312,9830412
469,9895945
339,9895946
390,9895947
260,9895948
484,9961481
314,9961482
367,9961483
235,9961484
502,10027017
320,10027018
340,10027019
236,10027020
473,10092553
334,10092554
427,10092555
193,10092556
494,10158089
396,10158090
439,10158091
122,10158092
494,10223625
408,10223626
389,10223627
101,10223628
480,10289161
425,10289162
341,10289163
98,10289164
502,10354697
407,10354698
294,10354699
484,10420233
351,10420234
210,10420235
435,10485769
256,10485770
236,10485771
300,10551305
93,10551306
192,10551307
108,10616842
184,10616843
275,10682378
306,10682379
208,7208969
191,7274505
280,7340041
273,7340042
320,7405577
331,7405578
365,7471113
378,7471114
370,7536649
375,7536650
373,7602185
424,7602186
398,7667721
472,7667722
402,7733257
505,7733258
349,7733259
429,7798793
476,7798794
343,7798795
412,7864329
492,7864330
277,7864331
448,7929865
489,7929866
353,7929867
429,7995401
462,7995402
430,7995403
507,8060937
485,8060938
405,8060939
539,8126473
475,8126474
456,8126475
376,8126476
425,8192009
484,8192010
480,8192011
391,8192012
464,8257545
494,8257546
500,8257547
400,8257548
473,8323081
484,8323082
508,8323083
359,8323084
451,8388617
493,8388618
517,8388619
376,8388620
478,8454153
530,8454154
509,8454155
381,8454156
492,8519689
496,8519690
475,8519691
371,8519692
497,8585225
496,8585226
465,8585227
436,8585228
479,8650761
544,8650762
459,8650763
482,8650764
489,8716297
532,8716298
473,8716299
487,8716300
495,8781833
512,8781834
472,8781835
549,8781836
482,8847369
516,8847370
521,8847371
582,8847372
498,8912905
543,8912906
515,8912907
530,8912908
495,8978441
561,8978442
459,8978443
483,8978444
519,9043977
552,9043978
485,9043979
484,9043980
498,9109513
561,9109514
490,9109515
464,9109516
508,9175049
534,9175050
473,9175051
423,9175052
525,9240585
512,9240586
509,9240587
407,9240588
477,9306121
576,9306122
502,9306123
463,9306124
497,9371657
584,9371658
487,9371659
498,9371660
467,9437193
582,9437194
545,9437195
472,9437196
450,9502729
582,9502730
544,9502731
509,9502732
457,9568265
556,9568266
537,9568267
555,9568268
447,9633801
529,9633802
533,9633803
547,9633804
439,9699336
458,9699337
435,9699338
600,9699339
528,9699340
464,9764872
447,9764873
421,9764874
675,9764875
550,9764876
453,9830408
466,9830409
470,9830410
473,9830411
564,9830412
469,9895944
446,9895945
504,9895946
294,9895947
550,9895948
475,9961480
446,9961481
480,9961482
325,9961483
531,9961484
469,10027016
482,10027017
391,10027018
355,10027019
505,10027020
450,10092553
418,10092554
426,10092555
449,10092556
451,10158089
456,10158090
480,10158091
379,10158092
476,10223625
432,10223626
490,10223627
350,10223628
475,10289161
443,10289162
551,10289163
266,10289164
470,10354697
450,10354698
569,10354699
203,10354700
481,10420233
460,10420234
454,10420235
133,10420236
527,10485769
448,10485770
412,10485771
60,10485772
464,10551305
333,10551306
355,10551307
308,10616841
192,10616842
200,10616843
186,10682377
115,10682378
143,10682379
150,10747914
118,10747915
340,10813450
89,10813451
271,7077897
333,7143433
309,7208969
297,7208970
325,7274505
301,7274506
373,7340041
286,7340042
403,7405577
380,7405578
398,7471113
599,7471114
367,7536649
574,7536650
391,7602185
511,7602186
375,7602187
405,7667721
511,7667722
449,7667723
423,7733257
486,7733258
483,7733259
456,7798793
489,7798794
361,7798795
452,7864329
499,7864330
313,7864331
506,7929865
498,7929866
407,7929867
477,7995401
477,7995402
476,7995403
444,7995404
541,8060937
516,8060938
470,8060939
524,8060940
581,8126473
534,8126474
503,8126475
581,8126476
480,8192008
475,8192009
527,8192010
501,8192011
602,8192012
456,8257544
478,8257545
537,8257546
495,8257547
614,8257548
470,8323080
501,8323081
515,8323082
496,8323083
633,8323084
471,8388616
496,8388617
534,8388618
505,8388619
683,8388620
468,8454152
490,8454153
548,8454154
506,8454155
689,8454156
460,8519688
499,8519689
507,8519690
497,8519691
717,8519692
445,8585224
500,8585225
545,8585226
507,8585227
766,8585228
442,8650760
472,8650761
531,8650762
506,8650763
767,8650764
436,8716296
487,8716297
516,8716298
509,8716299
774,8716300
466,8781832
482,8781833
536,8781834
509,8781835
792,8781836
476,8847368
499,8847369
