"JHN.BRAIN.STRYKEER.BRAIN_STRYKER.t1_AX","COORD"
265,8454155
300,8519690
271,8519691
255,8585226
251,8585227
239,8650762
253,8650763
245,8716298
309,8716299
267,8781834
251,8781835
306,8847370
232,8847371
276,8912906
244,8912907
275,8978442
265,8978443
272,9043978
338,9043979
256,9109514
343,9109515
281,9175050
307,9175051
261,9240586
299,9240587
333,9306123
317,9371659
385,8192011
345,8257546
343,8257547
354,8323082
245,8323083
361,8388618
204,8388619
342,8454154
182,8454155
337,8519690
179,8519691
307,8585226
196,8585227
312,8650762
224,8650763
366,8716298
261,8716299
392,8781834
260,8781835
384,8847370
169,8847371
342,8912906
239,8912907
353,8978442
335,8978443
385,9043978
272,9043979
404,9109514
284,9109515
421,9175050
292,9175051
414,9240586
286,9240587
427,9306122
287,9306123
409,9371658
254,9371659
388,9437194
279,9437195
404,9502730
270,9502731
269,9568267
286,9633803
341,7995403
459,8060938
363,8060939
430,8126474
286,8126475
440,8192010
273,8192011
450,8257546
276,8257547
484,8323082
260,8323083
464,8388618
281,8388619
456,8454154
311,8454155
464,8519690
320,8519691
458,8585226
354,8585227
446,8650762
376,8650763
442,8716298
377,8716299
446,8781834
421,8781835
375,8847370
386,8847371
243,8847372
322,8912906
462,8912907
245,8912908
361,8978442
565,8978443
216,8978444
376,9043978
421,9043979
169,9043980
377,9109514
403,9109515
383,9175050
470,9175051
392,9240586
463,9240587
410,9306122
463,9306123
433,9371658
437,9371659
438,9437194
441,9437195
402,9502730
429,9502731
446,9568266
468,9568267
492,9633802
500,9633803
457,9699338
427,9699339
364,9764875
355,9830411
500,7929866
288,7929867
510,7995402
291,7995403
496,8060938
314,8060939
470,8126474
317,8126475
479,8192010
359,8192011
500,8257546
398,8257547
507,8323082
423,8323083
478,8388618
466,8388619
498,8454154
466,8454155
501,8519690
459,8519691
189,8519692
492,8585226
460,8585227
254,8585228
509,8650762
449,8650763
278,8650764
497,8716298
449,8716299
244,8716300
489,8781834
470,8781835
281,8781836
451,8847370
509,8847371
332,8847372
432,8912906
537,8912907
345,8912908
461,8978442
549,8978443
318,8978444
443,9043978
502,9043979
296,9043980
429,9109514
462,9109515
306,9109516
403,9175050
497,9175051
306,9175052
392,9240586
523,9240587
338,9240588
409,9306122
514,9306123
277,9306124
405,9371658
513,9371659
253,9371660
461,9437194
525,9437195
282,9437196
480,9502730
532,9502731
498,9568266
566,9568267
516,9633802
597,9633803
419,9699338
594,9699339
427,9764874
542,9764875
451,9830410
401,9830411
390,9895947
367,9961483
343,7798795
492,7864330
277,7864331
489,7929866
353,7929867
462,7995402
430,7995403
485,8060938
405,8060939
475,8126474
456,8126475
484,8192010
480,8192011
464,8257545
494,8257546
500,8257547
473,8323081
484,8323082
508,8323083
359,8323084
451,8388617
493,8388618
517,8388619
376,8388620
478,8454153
530,8454154
509,8454155
381,8454156
492,8519689
496,8519690
475,8519691
371,8519692
497,8585225
496,8585226
465,8585227
436,8585228
479,8650761
544,8650762
459,8650763
482,8650764
489,8716297
532,8716298
473,8716299
487,8716300
495,8781833
512,8781834
472,8781835
549,8781836
